Timepoint,Well Number,Live Cell/mL,Dead Cell/mL,Total Cell/mL
ZT3,1,311000,34600,346000
ZT3,1,346000,57600,403000
ZT3,2,484000,57600,542000
ZT3,2,421000,92200,513000
ZT3,3,421000,69200,490000
ZT3,3,398000,34600,432000
ZT3,4,559000,23100,582000
ZT3,4,553000,28800,582000
ZT3,5,697000,46100,743000
ZT3,5,709000,46100,755000
ZT3,6,807000,51900,859000
ZT3,6,732000,57600,790000
ZT21,1,905000,46100,951000
ZT21,1,795000,28800,824000
ZT21,2,617000,57600,674000
ZT21,2,467000,92200,559000
ZT21,3,720000,40300,761000
ZT21,3,697000,63400,761000
ZT21,4,692000,51900,743000
ZT21,4,565000,11500,576000
ZT21,5,490000,69200,559000
ZT21,5,403000,57600,461000
ZT21,6,864000,34600,899000
ZT21,6,599000,57600,657000
ZT15,1,265000,11500,277000
ZT15,1,490000,46100,536000
ZT15,2,369000,40300,409000
ZT15,2,363000,40300,403000
ZT15,3,426000,28800,455000
ZT15,3,484000,74900,559000
ZT15,4,674000,51900,726000
ZT15,4,692000,40300,732000
ZT15,5,461000,57600,519000
ZT15,5,363000,46100,409000
ZT15,6,542000,28800,571000
ZT15,6,426000,34600,461000
ZT9,1,674000,98000,772000
ZT9,1,490000,80700,571000
ZT9,2,507000,74900,582000
ZT9,2,398000,51900,450000
ZT9,3,409000,11500,421000
ZT9,3,415000,138000,553000
ZT9,4,490000,40300,530000
ZT9,4,496000,57600,553000
ZT9,5,450000,23100,473000
ZT9,5,409000,63400,473000
ZT9,6,323000,74900,398000
ZT9,6,363000,11500,375000
