Timepoint,Well Number,Live Cell/mL,Dead Cell/mL,Total Cell/mL
ZT3,1,2.65E+05,7.49E+04,3.40E+05
ZT3,1,3.98E+05,3.46E+04,4.32E+05
ZT3,2,1.84E+05,4.61E+04,2.31E+05
ZT3,2,4.03E+05,2.31E+04,4.26E+05
ZT3,3,2.77E+05,2.31E+04,3.00E+05
ZT3,3,2.88E+05,3.46E+04,3.23E+05
ZT3,4,2.25E+05,5.19E+04,2.77E+05
ZT3,4,2.19E+05,1.73E+04,2.36E+05
ZT3,5,1.84E+05,5.76E+03,1.90E+05
ZT3,5,3.29E+05,1.27E+05,4.55E+05
ZT3,6,2.36E+05,2.31E+04,2.59E+05
ZT3,6,2.94E+05,2.31E+04,3.17E+05
ZT21,1,2.19E+05,1.04E+05,3.23E+05
ZT21,1,2.42E+05,1.73E+04,2.59E+05
ZT21,2,3.11E+05,6.34E+04,3.75E+05
ZT21,2,2.31E+05,2.88E+04,2.59E+05
ZT21,3,3.63E+05,1.15E+04,3.75E+05
ZT21,3,2.94E+05,4.03E+04,3.34E+05
ZT21,4,2.13E+05,4.61E+04,2.59E+05
ZT21,4,2.71E+05,3.46E+04,3.05E+05
ZT21,5,2.82E+05,9.80E+04,3.80E+05
ZT21,5,2.42E+05,3.46E+04,2.77E+05
ZT21,6,3.29E+05,2.02E+05,5.30E+05
ZT21,6,3.11E+05,1.90E+05,5.01E+05
ZT15,1,1.44E+05,6.34E+04,2.07E+05
ZT15,1,2.88E+05,1.67E+05,4.55E+05
ZT15,2,2.31E+05,9.80E+04,3.29E+05
ZT15,2,2.07E+05,5.19E+04,2.59E+05
ZT15,3,2.48E+05,1.15E+04,2.59E+05
ZT15,3,2.65E+05,4.03E+04,3.05E+05
ZT15,4,2.65E+05,3.46E+04,3.00E+05
ZT15,4,1.96E+05,1.44E+05,3.40E+05
ZT15,5,1.90E+05,1.15E+04,2.02E+05
ZT15,5,1.38E+05,4.61E+04,1.84E+05
ZT15,6,1.61E+05,1.10E+05,2.71E+05
ZT15,6,3.00E+05,3.80E+05,6.80E+05
ZT9,1,3.00E+05,5.19E+04,3.52E+05
ZT9,1,3.11E+05,4.61E+04,3.57E+05
ZT9,2,1.96E+05,5.76E+04,2.54E+05
ZT9,2,1.73E+05,4.03E+04,2.13E+05
ZT9,3,2.59E+05,7.49E+04,3.34E+05
ZT9,3,2.82E+05,5.76E+04,3.40E+05
ZT9,4,2.19E+05,1.15E+04,2.31E+05
ZT9,4,2.07E+05,6.34E+04,2.71E+05
ZT9,5,2.54E+05,4.03E+04,2.94E+05
ZT9,5,1.56E+05,9.22E+04,2.48E+05
ZT9,6,2.36E+05,6.34E+04,3.00E+05
ZT9,6,2.13E+05,7.49E+04,2.88E+05
