Timepoint,Well Number,Live Cell/mL,Dead Cell/mL,Total Cell/mL
ZT3,1,5.13E+05,4.03E+04,5.53E+05
ZT3,1,5.65E+05,3.46E+04,5.99E+05
ZT3,2,4.44E+05,6.92E+04,5.13E+05
ZT3,2,5.94E+05,2.31E+04,6.17E+05
ZT3,3,8.64E+05,1.79E+05,1.04E+06
ZT3,3,4.73E+05,1.15E+04,4.84E+05
ZT3,4,3.69E+05,1.38E+05,5.07E+05
ZT3,4,3.80E+05,3.46E+04,4.15E+05
ZT3,5,4.38E+05,4.03E+04,4.78E+05
ZT3,5,5.30E+05,2.31E+04,5.53E+05
ZT3,6,2.88E+05,1.73E+04,3.05E+05
ZT3,6,6.57E+05,2.31E+04,6.80E+05
ZT3,6,2.19E+05,2.31E+04,2.42E+05
ZT21,1,3.86E+05,1.15E+04,3.98E+05
ZT21,1,6.51E+05,1.15E+04,6.63E+05
ZT21,2,5.19E+04,5.76E+04,1.10E+05
ZT21,2,6.28E+05,5.19E+04,6.80E+05
ZT21,2,2.13E+05,5.76E+03,2.19E+05
ZT21,3,1.96E+05,1.73E+04,2.13E+05
ZT21,3,4.44E+05,4.03E+04,4.84E+05
ZT21,3,2.77E+05,1.15E+04,2.88E+05
ZT21,4,3.00E+05,5.76E+03,3.05E+05
ZT21,4,4.67E+05,1.15E+04,4.78E+05
ZT21,5,1.56E+05,7.49E+04,2.31E+05
ZT21,5,2.02E+05,2.31E+04,2.25E+05
ZT21,6,3.34E+05,2.88E+04,3.63E+05
ZT21,6,3.86E+05,2.31E+04,4.09E+05
ZT15,1,3.63E+05,1.15E+04,3.75E+05
ZT15,1,3.11E+05,3.46E+04,3.46E+05
ZT15,2,2.77E+05,6.92E+04,3.46E+05
ZT15,2,5.99E+05,5.19E+04,6.51E+05
ZT15,3,5.19E+05,2.88E+04,5.48E+05
ZT15,3,3.57E+05,4.03E+04,3.98E+05
ZT15,4,4.78E+05,3.46E+04,5.13E+05
ZT15,4,5.82E+05,5.19E+04,6.34E+05
ZT15,5,4.50E+05,4.61E+04,4.96E+05
ZT15,5,4.26E+05,2.88E+04,4.55E+05
ZT15,6,3.11E+05,8.64E+04,3.98E+05
ZT15,6,4.55E+05,4.61E+04,5.01E+05
ZT9,1,4.55E+05,1.04E+05,5.59E+05
ZT9,1,4.21E+05,4.03E+04,4.61E+05
ZT9,2,3.80E+05,2.31E+04,4.03E+05
ZT9,2,5.19E+05,4.03E+04,5.59E+05
ZT9,3,4.67E+05,5.76E+04,5.24E+05
ZT9,3,5.30E+05,4.03E+04,5.71E+05
ZT9,4,4.55E+05,5.19E+04,5.07E+05
ZT9,4,1.67E+05,2.88E+04,1.96E+05
ZT9,5,1.38E+05,2.88E+04,1.67E+05
ZT9,5,4.44E+05,9.22E+04,5.36E+05
ZT9,6,5.65E+05,1.56E+05,7.20E+05
ZT9,6,4.21E+05,5.76E+03,4.26E+05
ZT9,6,4.03E+05,4.03E+04,4.44E+05
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
